,school,conf,rk,w,l,srs,sos,pts_for,pts_vs,pts_total,ap_pre,ap_high,ap_final,pts_diff,ncaa_result,ncaa_numeric,season,year,coach
0,air-force,MWC,1,12,21,-2.99,1.08,73.1,75.1,148.2,30,30,30,-2,,0,2016-17,2016,Dave Pilipovich
1,air-force,MWC,2,14,18,-5.51,0.66,68.4,72.8,141.2,30,30,30,-4.4,,0,2015-16,2015,Dave Pilipovich
2,air-force,MWC,3,14,17,-1.85,-0.71,65.7,65.1,130.8,30,30,30,0.6,,0,2014-15,2014,Dave Pilipovich
3,air-force,MWC,4,12,18,-4.08,1.71,66,69.1,135.1,30,30,30,-3.1,,0,2013-14,2013,Dave Pilipovich
4,air-force,MWC,5,18,14,4.18,4.28,70,67.8,137.8,30,30,30,2.2,,0,2012-13,2012,Dave Pilipovich
5,air-force,MWC,6,13,16,-0.45,2.14,61.6,62,123.6,30,30,30,-0.4,,0,2011-12,2011,Jeff Reynolds
6,air-force,MWC,7,16,16,2.71,3.31,64.8,65.1,129.9,30,30,30,-0.3,,0,2010-11,2010,Jeff Reynolds
7,air-force,MWC,8,10,21,-4.9,3.13,57.2,63.1,120.3,30,30,30,-5.9,,0,2009-10,2009,Jeff Reynolds
8,air-force,MWC,9,10,21,-2.99,2.37,58.7,62.5,121.2,30,30,30,-3.8,,0,2008-09,2008,Jeff Reynolds
9,air-force,MWC,10,16,14,0.44,0.19,58.7,57.2,115.9,30,30,30,1.5,,0,2007-08,2007,Jeff Reynolds
10,air-force,MWC,11,26,9,15.19,3.34,69,56,125,30,13,30,13,,0,2006-07,2006,Jeff Bzdelik
11,air-force,MWC,12,24,7,10.2,2.49,64.2,54.7,118.9,30,30,30,9.5,Lost First Round,1,2005-06,2005,Jeff Bzdelik
12,air-force,MWC,13,18,12,8.61,2.61,61.2,54.3,115.5,30,30,30,6.9,,0,2004-05,2004,Chris Mooney
13,air-force,MWC,14,22,7,9.12,0.08,59.9,50.9,110.8,30,25,30,9,Lost First Round,1,2003-04,2003,Joe Scott
14,air-force,MWC,15,12,16,1.71,1.46,57.3,57,114.3,30,30,30,0.3,,0,2002-03,2002,Joe Scott
15,air-force,MWC,16,9,19,-0.95,3.23,57.3,61.5,118.8,30,30,30,-4.2,,0,2001-02,2001,Joe Scott
16,air-force,MWC,17,8,21,-3.57,1.99,57.5,63,120.5,30,30,30,-5.5,,0,2000-01,2000,Joe Scott
17,air-force,MWC,18,8,20,-5.07,2.58,67.5,73.1,140.6,30,30,30,-5.6,,0,1999-00,1999,Reggie Minton
18,air-force,WAC,19,10,16,-4,2.53,76.2,80.2,156.4,30,30,30,-4,,0,1998-99,1998,Reggie Minton
19,air-force,WAC,20,10,16,-5.51,2.59,68.2,69.7,137.9,30,30,30,-1.5,,0,1997-98,1997,Reggie Minton
20,air-force,WAC,21,7,19,-4.94,1.15,67.9,72.1,140,30,30,30,-4.2,,0,1996-97,1996,Reggie Minton
21,air-force,WAC,22,5,23,-5.63,5.04,67.1,74.6,141.7,30,30,30,-7.5,,0,1995-96,1995,Reggie Minton
22,air-force,WAC,23,8,20,-4.05,4.95,67.2,,,30,30,30,,,0,1994-95,1994,Reggie Minton
23,air-force,WAC,24,8,18,-6.27,2.41,69.7,,,30,30,30,,,0,1993-94,1993,Reggie Minton
24,air-force,WAC,25,9,19,-7.45,2.05,65.5,,,30,30,30,,,0,1992-93,1992,Reggie Minton
25,air-force,WAC,26,9,20,-6.8,1.88,,,,30,30,30,,,0,1991-92,1991,Reggie Minton
26,air-force,WAC,27,9,20,-7.77,0.59,,,,30,30,30,,,0,1990-91,1990,Reggie Minton
27,air-force,WAC,28,12,20,-1.86,3.71,,,,30,30,30,,,0,1989-90,1989,Reggie Minton
28,air-force,WAC,29,14,14,2.94,3.39,,,,30,30,30,,,0,1988-89,1988,Reggie Minton
29,air-force,WAC,30,11,17,-6.7,2.6,,,,30,30,30,,,0,1987-88,1987,Reggie Minton
30,air-force,WAC,31,12,15,-3.72,0.37,,,,30,30,30,,,0,1986-87,1986,Reggie Minton
31,air-force,WAC,32,10,19,-6.92,0.2,,,,30,30,30,,,0,1985-86,1985,Reggie Minton
32,air-force,WAC,33,8,20,-6.11,-0.31,,,,30,30,30,,,0,1984-85,1984,Reggie Minton
33,air-force,WAC,34,8,19,-4,3.13,,,,30,30,30,,,0,1983-84,1983,Hank Egan
34,air-force,WAC,35,10,17,-8.78,-0.82,,,,30,30,30,,,0,1982-83,1982,Hank Egan
35,air-force,WAC,36,8,19,-4.84,4.75,,,,30,30,30,,,0,1981-82,1981,Hank Egan
36,air-force,WAC,37,9,18,1.71,5.27,,,,30,30,30,,,0,1980-81,1980,Hank Egan
37,air-force,WAC,38,8,17,-7.84,-1.07,,,,30,30,30,,,0,1979-80,1979,Hank Egan
38,air-force,Ind,39,12,13,-3.9,0.52,,,,30,30,30,,,0,1978-79,1978,Hank Egan
39,air-force,Ind,40,15,10,2,2.21,,,,30,30,30,,,0,1977-78,1977,Hank Egan
40,air-force,Ind,41,12,15,-4.83,-0.69,,,,30,30,30,,,0,1976-77,1976,Hank Egan
41,air-force,Ind,42,16,9,-4.2,-4.26,,,,30,30,30,,,0,1975-76,1975,Hank Egan
42,air-force,Ind,43,13,12,-5.74,-0.8,,,,30,30,30,,,0,1974-75,1974,Hank Egan
43,air-force,Ind,44,11,13,-5.6,-1.54,,,,30,30,30,,,0,1973-74,1973,Hank Egan
44,air-force,Ind,45,14,10,-0.02,-3.34,,,,30,30,30,,,0,1972-73,1972,Hank Egan
45,air-force,Ind,46,12,13,-8.53,-4.66,,,,30,30,30,,,0,1971-72,1971,Hank Egan
46,air-force,Ind,47,12,14,-6.08,1.16,,,,30,30,30,,,0,1970-71,1970,Bob Spear
47,air-force,Ind,48,12,12,-0.84,4.1,,,,30,30,30,,,0,1969-70,1969,Bob Spear
48,air-force,Ind,49,11,13,-6.92,-0.09,,,,30,30,30,,,0,1968-69,1968,Bob Spear
49,air-force,Ind,50,9,15,-9.31,1.65,,,,30,30,30,,,0,1967-68,1967,Bob Spear
50,air-force,Ind,51,6,18,-6.12,2.2,,,,30,30,30,,,0,1966-67,1966,Bob Spear
51,air-force,Ind,52,14,12,0.42,2.17,,,,30,30,30,,,0,1965-66,1965,Bob Spear
52,air-force,Ind,53,9,14,-1.71,1.76,,,,30,30,30,,,0,1964-65,1964,Bob Spear
53,air-force,Ind,54,11,12,3.25,0.89,,,,30,30,30,,,0,1963-64,1963,Bob Spear
54,air-force,Ind,55,10,12,-1.11,3.19,,,,30,30,30,,,0,1962-63,1962,Bob Spear
55,air-force,Ind,56,16,7,-3.1,-2.88,,,,30,30,30,,Lost First Round,1,1961-62,1961,Bob Spear
56,air-force,Ind,57,12,12,-4.71,0.5,,,,30,30,30,,,0,1960-61,1960,Bob Spear
57,air-force,Ind,58,12,10,-6.5,-2.23,,,,30,30,30,,Lost First Round,1,1959-60,1959,Bob Spear
58,air-force,Ind,59,14,9,,,,,,30,30,30,,,0,1958-59-nm,1958,Bob Spear
59,air-force,Ind,60,17,6,-1.88,-1.88,,,,30,30,30,,,0,1957-58,1957,Bob Spear
60,akron,MAC,1,26,8,3.97,-1.52,77.2,70.3,147.5,30,30,30,6.9,,0,2016-17,2016,Keith Dambrot
61,akron,MAC,2,26,9,5.55,-1.24,76.6,68,144.6,30,30,30,8.6,,0,2015-16,2015,Keith Dambrot
62,akron,MAC,3,21,14,3.65,-0.47,68.1,62.9,131,30,30,30,5.2,,0,2014-15,2014,Keith Dambrot
63,akron,MAC,4,21,13,1.16,-0.48,68.6,66.9,135.5,30,30,30,1.7,,0,2013-14,2013,Keith Dambrot
64,akron,MAC,5,26,7,8.11,0.18,71.8,62.8,134.6,30,30,30,9,Lost Second Round,2,2012-13,2012,Keith Dambrot
65,akron,MAC,6,22,12,6.33,0.72,72.2,65.9,138.1,30,30,30,6.3,,0,2011-12,2011,Keith Dambrot
66,akron,MAC,7,23,13,2.15,-1.02,70.1,65.7,135.8,30,30,30,4.4,Lost Second Round,2,2010-11,2010,Keith Dambrot
67,akron,MAC,8,24,11,2.82,-1.5,70.6,65.5,136.1,30,30,30,5.1,,0,2009-10,2009,Keith Dambrot
68,akron,MAC,9,23,13,3.37,-2.01,66.8,60.3,127.1,30,30,30,6.5,Lost First Round,1,2008-09,2008,Keith Dambrot
69,akron,MAC,10,24,11,6.24,0.33,70.8,63.8,134.6,30,30,30,7,,0,2007-08,2007,Keith Dambrot
70,akron,MAC,11,26,7,10.9,-1.9,75.3,61,136.3,30,30,30,14.3,,0,2006-07,2006,Keith Dambrot
71,akron,MAC,12,23,10,5,0.13,72.9,66.1,139,30,30,30,6.8,,0,2005-06,2005,Keith Dambrot
72,akron,MAC,13,19,10,7.03,1.67,71.8,65.6,137.4,30,30,30,6.2,,0,2004-05,2004,Keith Dambrot
73,akron,MAC,14,13,15,-0.39,0,71.8,72.1,143.9,30,30,30,-0.3,,0,2003-04,2003,Dan Hipsher
74,akron,MAC,15,14,14,-0.8,-1.43,78.6,77,155.6,30,30,30,1.6,,0,2002-03,2002,Dan Hipsher
75,akron,MAC,16,10,21,-4.84,0.36,69.5,74.3,143.8,30,30,30,-4.8,,0,2001-02,2001,Dan Hipsher
76,akron,MAC,17,12,16,-3.09,1.67,67.9,72.6,140.5,30,30,30,-4.7,,0,2000-01,2000,Dan Hipsher
77,akron,MAC,18,17,11,3.44,1.32,75.9,71.8,147.7,30,30,30,4.1,,0,1999-00,1999,Dan Hipsher
78,akron,MAC,19,18,9,5.15,1.11,75.2,70.6,145.8,30,30,30,4.6,,0,1998-99,1998,Dan Hipsher
79,akron,MAC,20,17,10,5.57,-0.66,75.3,67.6,142.9,30,30,30,7.7,,0,1997-98,1997,Dan Hipsher
80,akron,MAC,21,8,18,-1.18,0.98,70.5,71.9,142.4,30,30,30,-1.4,,0,1996-97,1996,Dan Hipsher
81,akron,MAC,22,3,23,-11.17,2.51,62.7,75,137.7,30,30,30,-12.3,,0,1995-96,1995,Dan Hipsher
82,akron,MAC,23,8,18,-7.59,0.97,60.2,,,30,30,30,,,0,1994-95,1994,Coleman Crawford
83,akron,MAC,24,8,18,-8.14,-2.22,61.6,,,30,30,30,,,0,1993-94,1993,Coleman Crawford
84,akron,MAC,25,8,18,-10.69,-5.07,62.1,,,30,30,30,,,0,1992-93,1992,Coleman Crawford
85,akron,Mid-Cont,26,16,12,-5.77,-4.14,,,,30,30,30,,,0,1991-92,1991,Coleman Crawford
86,akron,Mid-Cont,27,15,13,-3.28,-3.69,,,,30,30,30,,,0,1990-91,1990,Coleman Crawford
87,akron,Ind,28,16,12,-2.43,-3.12,,,,30,30,30,,,0,1989-90,1989,Coleman Crawford
88,akron,Ind,29,21,8,9.07,-5.52,,,,30,30,30,,,0,1988-89,1988,Bob Huggins
89,akron,Ind,30,21,7,2.93,-6.75,,,,30,30,30,,,0,1987-88,1987,Bob Huggins
90,akron,OVC,31,21,9,2.57,-3.65,,,,30,30,30,,,0,1986-87,1986,Bob Huggins
91,akron,OVC,32,22,8,0.05,-3.79,,,,30,30,30,,Lost First Round,1,1985-86,1985,Bob Huggins
92,akron,OVC,33,12,14,-7.34,-4.3,,,,30,30,30,,,0,1984-85,1984,Bob Huggins
93,akron,OVC,34,8,19,-10.06,-4.22,,,,30,30,30,,,0,1983-84,1983,Bob Rupert
94,akron,OVC,35,14,15,-6.59,-3.51,,,,30,30,30,,,0,1982-83,1982,Bob Rupert
95,akron,OVC,36,7,19,-13.76,-5.16,,,,30,30,30,,,0,1981-82,1981,Bob Rupert
96,akron,OVC,37,8,18,-10.47,-2.88,,,,30,30,30,,,0,1980-81,1980,Bob Rupert
97,akron,Ind,38,16,9,-2.18,-0.85,,,,30,30,30,,,0,1949-50,1949,Russell Beichly
98,akron,Ind,39,16,6,,,62.2,53.7,115.9,30,30,30,8.5,,0,1948-49,1948,Russell Beichly
99,akron,Ind,40,15,9,,,,,,30,30,30,,,0,1947-48,1947,Russell Beichly
100,akron,Ind,41,21,2,,,,,,30,30,30,,,0,1944-45,1944,Russell Beichly
101,akron,Ind,42,10,5,,,,,,30,30,30,,,0,1943-44,1943,Russell Beichly
102,akron,Ind,43,18,3,,,,,,30,30,30,,,0,1942-43,1942,Russell Beichly
103,akron,Ind,44,15,1,,,,,,30,30,30,,,0,1933-34,1933,Red Blair
104,akron,Ind,45,12,1,,,,,,30,30,30,,,0,1922-23,1922,Fred Sefton
105,akron,Ind,46,5,8,,,,,,30,30,30,,,0,1921-22,1921,Fred Sefton
106,akron,Ind,47,11,2,,,,,,30,30,30,,,0,1920-21,1920,Fred Sefton
107,akron,Ind,48,12,2,,,,,,30,30,30,,,0,1919-20,1919,Fred Sefton
108,akron,Ind,49,14,0,,,,,,30,30,30,,,0,1918-19,1918,Fred Sefton
109,akron,Ind,50,9,4,,,,,,30,30,30,,,0,1917-18,1917,Fred Sefton
110,akron,Ind,51,14,2,,,,,,30,30,30,,,0,1916-17,1916,Fred Sefton
111,akron,Ind,52,5,5,,,,,,30,30,30,,,0,1915-16,1915,Fred Sefton
112,akron,Ind,53,2,10,,,,,,30,30,30,,,0,1914-15,1914,Frank Haggerty
113,akron,Ind,54,6,6,,,,,,30,30,30,,,0,1913-14,1913,Frank Haggerty
114,akron,Ind,55,7,1,,,,,,30,30,30,,,0,1912-13,1912,Frank Haggerty
115,akron,Ind,56,6,3,,,,,,30,30,30,,,0,1911-12,1911,Frank Haggerty
116,akron,Ind,57,8,4,,,,,,30,30,30,,,0,1910-11,1910,Frank Haggerty
117,akron,Ind,58,5,3,,,,,,30,30,30,,,0,1909-10,1909,Clarence Weed
118,akron,Ind,59,6,7,,,,,,30,30,30,,,0,1908-09,1908,Walter East
119,akron,Ind,60,4,5,,,,,,30,30,30,,,0,1907-08,1907,Earl Williams
120,akron,Ind,61,5,2,,,,,,30,30,30,,,0,1906-07,1906,Earl Williams
121,akron,Ind,62,6,7,,,,,,30,30,30,,,0,1905-06,1905,Earl Williams
122,akron,Ind,63,8,6,,,,,,30,30,30,,,0,1904-05,1904,Earl Williams
123,akron,Ind,64,3,7,,,,,,30,30,30,,,0,1903-04,1903,No coach
124,akron,Ind,65,4,4,,,,,,30,30,30,,,0,1902-03,1902,No coach
125,akron,Ind,66,2,2,,,,,,30,30,30,,,0,1901-02,1901,No coach
126,alabama,SEC,1,19,14,11.77,7.62,68.7,64.5,133.2,30,30,30,4.2,,0,2016-17,2016,Avery Johnson
127,alabama,SEC,2,18,15,7.14,8.62,66.5,67.9,134.4,30,30,30,-1.4,,0,2015-16,2015,Avery Johnson
128,alabama,SEC,3,19,15,10.52,8.09,67.1,64.1,131.2,30,30,30,3,,0,2014-15,2014,John Brannen
129,alabama,SEC,4,13,19,8.34,8.88,67.8,67.2,135,30,30,30,0.6,,0,2013-14,2013,Anthony Grant
130,alabama,SEC,5,23,13,9.79,5.93,63,58.4,121.4,30,30,30,4.6,,0,2012-13,2012,Anthony Grant
131,alabama,SEC,6,21,12,13.76,7.18,64.7,58.1,122.8,19,12,30,6.6,Lost Second Round,2,2011-12,2011,Anthony Grant
132,alabama,SEC,7,25,12,11.7,4.27,66.8,59.4,126.2,30,30,30,7.4,,0,2010-11,2010,Anthony Grant
133,alabama,SEC,8,17,15,10.34,6.62,68.5,64.8,133.3,30,30,30,3.7,,0,2009-10,2009,Anthony Grant
134,alabama,SEC,9,18,14,5.49,3.99,73.4,70.4,143.8,30,30,30,3,,0,2008-09,2008,Mark Gottfried
135,alabama,SEC,10,17,16,8.12,5.7,75.3,72.8,148.1,30,30,30,2.5,,0,2007-08,2007,Mark Gottfried
136,alabama,SEC,11,20,12,10.81,6.24,74,69.5,143.5,11,4,30,4.5,,0,2006-07,2006,Mark Gottfried
137,alabama,SEC,12,18,13,10.79,8.08,70.3,67.5,137.8,15,15,30,2.8,Lost Second Round,2,2005-06,2005,Mark Gottfried
138,alabama,SEC,13,24,8,16.74,6.81,75.8,65.1,140.9,18,11,21,10.7,Lost First Round,1,2004-05,2004,Mark Gottfried
139,alabama,SEC,14,20,13,14.29,10.2,72.1,68,140.1,30,30,30,4.1,Lost Regional Final,16,2003-04,2003,Mark Gottfried
140,alabama,SEC,15,17,12,13.36,9.4,69,65.1,134.1,8,1,30,3.9,Lost First Round,1,2002-03,2002,Mark Gottfried
141,alabama,SEC,16,27,8,16.93,7.67,75.9,66.7,142.6,24,5,8,9.2,Lost Second Round,2,2001-02,2001,Mark Gottfried
142,alabama,SEC,17,25,11,14.02,6.27,76.7,68.9,145.6,30,14,30,7.8,,0,2000-01,2000,Mark Gottfried
143,alabama,SEC,18,13,16,7.44,7.62,72.2,72.4,144.6,30,30,30,-0.2,,0,1999-00,1999,Mark Gottfried
144,alabama,SEC,19,17,15,5.73,6.66,67,67.9,134.9,30,30,30,-0.9,,0,1998-99,1998,Mark Gottfried
145,alabama,SEC,20,15,16,7.73,6.47,69.9,69,138.9,30,30,30,0.9,,0,1997-98,1997,David Hobbs
146,alabama,SEC,21,17,14,9.67,6.04,69.9,64.7,134.6,30,19,30,5.2,,0,1996-97,1996,David Hobbs
147,alabama,SEC,22,19,13,7,6.13,72,71.1,143.1,30,30,30,0.9,,0,1995-96,1995,David Hobbs
148,alabama,SEC,23,23,10,15.47,6.59,73,,,18,18,20,,Lost Second Round,2,1994-95,1994,David Hobbs
149,alabama,SEC,24,20,10,10.19,6.06,73.6,,,30,30,30,,Lost Second Round,2,1993-94,1993,David Hobbs
150,alabama,SEC,25,16,13,9.66,7.83,75.6,,,30,30,30,,,0,1992-93,1992,David Hobbs
151,alabama,SEC,26,26,9,13.52,7.29,,,,17,9,13,,Lost Second Round,2,1991-92,1991,Wimp Sanderson
152,alabama,SEC,27,23,10,14.3,8.7,,,,7,6,19,,Lost Regional Semifinal,8,1990-91,1990,Wimp Sanderson
153,alabama,SEC,28,26,9,15.95,5.77,,,,30,19,23,,Lost Regional Semifinal,8,1989-90,1989,Wimp Sanderson
154,alabama,SEC,29,23,8,9.58,3.52,,,,30,20,20,,Lost First Round,1,1988-89,1988,Wimp Sanderson
155,alabama,SEC,30,14,17,3.96,6.63,,,,30,30,30,,,0,1987-88,1987,Wimp Sanderson
156,alabama,SEC,31,28,5,19.42,8.99,,,,13,8,9,,Lost Regional Semifinal,8,1986-87,1986,Wimp Sanderson
157,alabama,SEC,32,24,9,16.73,9.09,,,,30,18,30,,Lost Regional Semifinal,8,1985-86,1985,Wimp Sanderson
158,alabama,SEC,33,23,10,14.46,7.15,,,,30,30,30,,Lost Regional Semifinal,8,1984-85,1984,Wimp Sanderson
159,alabama,SEC,34,18,12,11.98,7.98,,,,30,30,30,,Lost First Round,1,1983-84,1983,Wimp Sanderson
160,alabama,SEC,35,20,12,14.91,9.79,,,,12,5,30,,Lost First Round,1,1982-83,1982,Wimp Sanderson
161,alabama,SEC,36,24,7,10.51,5.47,,,,20,8,13,,Lost Regional Semifinal,8,1981-82,1981,Wimp Sanderson
162,alabama,SEC,37,18,11,12.7,8.02,,,,30,30,30,,,0,1980-81,1980,Wimp Sanderson
163,alabama,SEC,38,18,12,9.02,5.52,,,,30,30,30,,,0,1979-80,1979,C.M. Newton
164,alabama,SEC,39,22,11,9.98,6.71,,,,19,13,30,,,0,1978-79,1978,C.M. Newton
165,alabama,SEC,40,17,10,8.08,6.16,,,,15,15,30,,,0,1977-78,1977,C.M. Newton
166,alabama,SEC,41,25,6,14.25,7.44,,,,13,3,11,,,0,1976-77,1976,C.M. Newton
167,alabama,SEC,42,23,5,15.41,5.95,,,,12,6,6,,Lost Regional Semifinal,8,1975-76,1975,C.M. Newton
168,alabama,SEC,43,22,5,15.43,5.02,,,,9,5,10,,Lost First Round,1,1974-75,1974,C.M. Newton
169,alabama,SEC,44,22,4,13.86,2.59,,,,18,7,14,,,0,1973-74,1973,C.M. Newton
170,alabama,SEC,45,22,8,8.27,1.5,,,,30,6,30,,,0,1972-73,1972,C.M. Newton
171,alabama,SEC,46,18,8,6.24,1.71,,,,30,30,30,,,0,1971-72,1971,C.M. Newton
172,alabama,SEC,47,10,16,-4.11,3.09,,,,30,30,30,,,0,1970-71,1970,C.M. Newton
173,alabama,SEC,48,8,18,-8.56,1.53,,,,30,30,30,,,0,1969-70,1969,C.M. Newton
174,alabama,SEC,49,4,20,-6.38,3.53,,,,30,30,30,,,0,1968-69,1968,C.M. Newton
175,alabama,SEC,50,10,16,1.86,5.81,,,,30,30,30,,,0,1967-68,1967,Hayden Riley
176,alabama,SEC,51,13,13,-2.85,2.2,,,,30,30,30,,,0,1966-67,1966,Hayden Riley
177,alabama,SEC,52,16,10,-2.1,-0.44,,,,30,30,30,,,0,1965-66,1965,Hayden Riley
