school,conf,rk,w,l,srs,sos,pts_for,pts_vs,pts_total,ap_pre,ap_high,ap_final,pts_diff,ncaa_result,ncaa_numeric,season,coaches,year
air-force,MWC,1,12,21,-2.99,1.08,73.1,75.1,148.2,30,30,30,-2,NA,0,2016-17,Dave Pilipovich (12-21),2016
air-force,MWC,2,14,18,-5.51,0.66,68.4,72.8,141.2,30,30,30,-4.4,NA,0,2015-16,Dave Pilipovich (14-18),2015
air-force,MWC,3,14,17,-1.85,-0.71,65.7,65.1,130.8,30,30,30,0.6,NA,0,2014-15,Dave Pilipovich (14-17),2014
air-force,MWC,4,12,18,-4.08,1.71,66,69.1,135.1,30,30,30,-3.1,NA,0,2013-14,Dave Pilipovich (12-18),2013
air-force,MWC,5,18,14,4.18,4.28,70,67.8,137.8,30,30,30,2.2,NA,0,2012-13,Dave Pilipovich (18-14),2012
air-force,MWC,6,13,16,-0.45,2.14,61.6,62,123.6,30,30,30,-0.4,NA,0,2011-12,"Jeff Reynolds (11-10), Dave Pilipovich (2-6)",2011
air-force,MWC,7,16,16,2.71,3.31,64.8,65.1,129.9,30,30,30,-0.3,NA,0,2010-11,Jeff Reynolds (16-16),2010
air-force,MWC,8,10,21,-4.9,3.13,57.2,63.1,120.3,30,30,30,-5.9,NA,0,2009-10,Jeff Reynolds (10-21),2009
air-force,MWC,9,10,21,-2.99,2.37,58.7,62.5,121.2,30,30,30,-3.8,NA,0,2008-09,Jeff Reynolds (10-21),2008
air-force,MWC,10,16,14,0.44,0.19,58.7,57.2,115.9,30,30,30,1.5,NA,0,2007-08,Jeff Reynolds (16-14),2007
air-force,MWC,11,26,9,15.19,3.34,69,56,125,30,13,30,13,NA,0,2006-07,Jeff Bzdelik (26-9),2006
air-force,MWC,12,24,7,10.2,2.49,64.2,54.7,118.9,30,30,30,9.5,Lost First Round,1,2005-06,Jeff Bzdelik (24-7),2005
air-force,MWC,13,18,12,8.61,2.61,61.2,54.3,115.5,30,30,30,6.9,NA,0,2004-05,Chris Mooney (18-12),2004
air-force,MWC,14,22,7,9.12,0.08,59.9,50.9,110.8,30,25,30,9,Lost First Round,1,2003-04,Joe Scott (22-7),2003
air-force,MWC,15,12,16,1.71,1.46,57.3,57,114.3,30,30,30,0.3,NA,0,2002-03,Joe Scott (12-16),2002
air-force,MWC,16,9,19,-0.95,3.23,57.3,61.5,118.8,30,30,30,-4.2,NA,0,2001-02,Joe Scott (9-19),2001
air-force,MWC,17,8,21,-3.57,1.99,57.5,63,120.5,30,30,30,-5.5,NA,0,2000-01,Joe Scott (8-21),2.00E+03
air-force,MWC,18,8,20,-5.07,2.58,67.5,73.1,140.6,30,30,30,-5.6,NA,0,1999-00,Reggie Minton (8-20),1999
air-force,WAC,19,10,16,-4,2.53,76.2,80.2,156.4,30,30,30,-4,NA,0,1998-99,Reggie Minton (10-16),1998
air-force,WAC,20,10,16,-5.51,2.59,68.2,69.7,137.9,30,30,30,-1.5,NA,0,1997-98,Reggie Minton (10-16),1997
air-force,WAC,21,7,19,-4.94,1.15,67.9,72.1,140,30,30,30,-4.2,NA,0,1996-97,Reggie Minton (7-19),1996
air-force,WAC,22,5,23,-5.63,5.04,67.1,74.6,141.7,30,30,30,-7.5,NA,0,1995-96,Reggie Minton (5-23),1995
air-force,WAC,23,8,20,-4.05,4.95,67.2,NA,NA,30,30,30,NA,NA,0,1994-95,Reggie Minton (8-20),1994
air-force,WAC,24,8,18,-6.27,2.41,69.7,NA,NA,30,30,30,NA,NA,0,1993-94,Reggie Minton (8-18),1993
air-force,WAC,25,9,19,-7.45,2.05,65.5,NA,NA,30,30,30,NA,NA,0,1992-93,Reggie Minton (9-19),1992
air-force,WAC,26,9,20,-6.8,1.88,NA,NA,NA,30,30,30,NA,NA,0,1991-92,Reggie Minton (9-20),1991
air-force,WAC,27,9,20,-7.77,0.59,NA,NA,NA,30,30,30,NA,NA,0,1990-91,Reggie Minton (9-20),1990
air-force,WAC,28,12,20,-1.86,3.71,NA,NA,NA,30,30,30,NA,NA,0,1989-90,Reggie Minton (12-20),1989
air-force,WAC,29,14,14,2.94,3.39,NA,NA,NA,30,30,30,NA,NA,0,1988-89,Reggie Minton (14-14),1988
air-force,WAC,30,11,17,-6.7,2.6,NA,NA,NA,30,30,30,NA,NA,0,1987-88,Reggie Minton (11-17),1987
air-force,WAC,31,12,15,-3.72,0.37,NA,NA,NA,30,30,30,NA,NA,0,1986-87,Reggie Minton (12-15),1986
air-force,WAC,32,10,19,-6.92,0.2,NA,NA,NA,30,30,30,NA,NA,0,1985-86,Reggie Minton (10-19),1985
air-force,WAC,33,8,20,-6.11,-0.31,NA,NA,NA,30,30,30,NA,NA,0,1984-85,Reggie Minton (8-20),1984
air-force,WAC,34,8,19,-4,3.13,NA,NA,NA,30,30,30,NA,NA,0,1983-84,Hank Egan (8-19),1983
air-force,WAC,35,10,17,-8.78,-0.82,NA,NA,NA,30,30,30,NA,NA,0,1982-83,Hank Egan (10-17),1982
air-force,WAC,36,8,19,-4.84,4.75,NA,NA,NA,30,30,30,NA,NA,0,1981-82,Hank Egan (8-19),1981
air-force,WAC,37,9,18,1.71,5.27,NA,NA,NA,30,30,30,NA,NA,0,1980-81,Hank Egan (9-18),1980
air-force,WAC,38,8,17,-7.84,-1.07,NA,NA,NA,30,30,30,NA,NA,0,1979-80,Hank Egan (8-17),1979
air-force,Ind,39,12,13,-3.9,0.52,NA,NA,NA,30,30,30,NA,NA,0,1978-79,Hank Egan (12-13),1978
air-force,Ind,40,15,10,2,2.21,NA,NA,NA,30,30,30,NA,NA,0,1977-78,Hank Egan (15-10),1977
air-force,Ind,41,12,15,-4.83,-0.69,NA,NA,NA,30,30,30,NA,NA,0,1976-77,Hank Egan (12-15),1976
air-force,Ind,42,16,9,-4.2,-4.26,NA,NA,NA,30,30,30,NA,NA,0,1975-76,Hank Egan (16-9),1975
air-force,Ind,43,13,12,-5.74,-0.8,NA,NA,NA,30,30,30,NA,NA,0,1974-75,Hank Egan (13-12),1974
air-force,Ind,44,11,13,-5.6,-1.54,NA,NA,NA,30,30,30,NA,NA,0,1973-74,Hank Egan (11-13),1973
air-force,Ind,45,14,10,-0.02,-3.34,NA,NA,NA,30,30,30,NA,NA,0,1972-73,Hank Egan (14-10),1972
air-force,Ind,46,12,13,-8.53,-4.66,NA,NA,NA,30,30,30,NA,NA,0,1971-72,Hank Egan (12-13),1971
air-force,Ind,47,12,14,-6.08,1.16,NA,NA,NA,30,30,30,NA,NA,0,1970-71,Bob Spear (12-14),1970
air-force,Ind,48,12,12,-0.84,4.1,NA,NA,NA,30,30,30,NA,NA,0,1969-70,Bob Spear (12-12),1969
